user_id,age,education_level,background,programming_languages,tools_known,interests,soft_skills,study_hours_per_day,preferred_study_time,learning_style,preferred_domain,dream_job_role,recommended_job_role
1,30,PhD,IT,JavaScript,TensorFlow,Web Development,Leadership,8,Morning,Visual,Startup,Software Developer,Software Developer
2,32,M.Tech,Other,JavaScript,None,Web Development,Problem Solving,1,Morning,Reading,Startup,Software Developer,Software Developer
3,21,PhD,CS,Python,Excel,Data Analysis,Problem Solving,5,Morning,Visual,IT,Data Analyst,Data Analyst
4,37,B.Tech,Mechanical,Python,None,Data Analysis,Time Management,9,Morning,Reading,Startup,Software Developer,DevOps Engineer
5,19,High School,Commerce,Python,TensorFlow,Web Development,Teamwork,1,Night,Hands-on,Govt Job,Software Developer,Software Developer
6,38,High School,CS,Python,Excel,Cybersecurity,Communication,12,Night,Mixed,Startup,DevOps Engineer,Cybersecurity Specialist
7,34,High School,ECE,Java,TensorFlow,AI,Teamwork,4,Morning,Visual,Govt Job,Cybersecurity Specialist,AI/ML Engineer
8,33,M.Tech,Other,Python,Excel,Web Development,Communication,3,Anytime,Hands-on,IT,Product Manager,Software Developer
9,24,Diploma,IT,JavaScript,Excel,Cybersecurity,Communication,2,Night,Reading,Research,Product Manager,Cybersecurity Specialist
10,22,Diploma,Other,JavaScript,Power BI,Cybersecurity,Leadership,2,Night,Mixed,IT,AI/ML Engineer,Cybersecurity Specialist
11,28,B.Tech,CS,Python,Power BI,Data Analysis,Problem Solving,9,Morning,Reading,Govt Job,Software Developer,Data Analyst
12,33,Diploma,Commerce,C++,Tableau,Mobile,Problem Solving,2,Night,Hands-on,IT,Product Manager,AI/ML Engineer
13,31,B.Tech,Commerce,Python,Tableau,Cybersecurity,Problem Solving,12,Night,Mixed,Startup,Product Manager,Cybersecurity Specialist
14,38,Other,ECE,C++,Tableau,Web Development,Communication,4,Anytime,Visual,Research,Software Developer,Software Developer
15,26,High School,Mechanical,JavaScript,PyTorch,AI,Leadership,11,Night,Hands-on,IT,Product Manager,Software Developer
16,38,Other,IT,C++,PyTorch,Data Analysis,Time Management,3,Morning,Mixed,Govt Job,Data Analyst,Data Analyst
17,19,Other,ECE,Java,None,Mobile,Problem Solving,6,Night,Hands-on,IT,Product Manager,AI/ML Engineer
18,35,High School,IT,Java,Excel,Data Analysis,Communication,8,Night,Visual,Research,DevOps Engineer,Data Analyst
19,24,PhD,ECE,Java,Excel,Data Analysis,Communication,2,Night,Reading,Startup,DevOps Engineer,Data Analyst
20,20,M.Tech,Commerce,Python,None,Mobile,Leadership,4,Anytime,Mixed,Startup,DevOps Engineer,Software Developer
21,25,M.Tech,Mechanical,None,PyTorch,Web Development,Problem Solving,12,Morning,Hands-on,Startup,Product Manager,Software Developer
22,35,Diploma,Mechanical,C++,None,Cybersecurity,Time Management,6,Night,Mixed,IT,Software Developer,Cybersecurity Specialist
23,29,PhD,Other,JavaScript,TensorFlow,Mobile,Teamwork,5,Anytime,Mixed,Research,Product Manager,Software Developer
24,29,High School,CS,Python,PyTorch,Web Development,Leadership,10,Night,Mixed,IT,AI/ML Engineer,Software Developer
25,25,High School,Commerce,Python,Power BI,AI,Problem Solving,1,Anytime,Mixed,Startup,Software Developer,Software Developer
26,19,Diploma,ECE,None,TensorFlow,Mobile,Communication,4,Morning,Reading,Startup,Cybersecurity Specialist,Data Analyst
27,20,PhD,CS,C++,Power BI,Mobile,Problem Solving,0,Morning,Visual,Startup,Software Developer,AI/ML Engineer
28,24,B.Tech,Other,None,PyTorch,Mobile,Leadership,6,Anytime,Hands-on,IT,Software Developer,Cybersecurity Specialist
29,23,Other,Mechanical,None,TensorFlow,DevOps,Teamwork,12,Night,Reading,Research,Software Developer,DevOps Engineer
30,21,High School,Commerce,Python,Tableau,Mobile,Time Management,1,Morning,Visual,Startup,AI/ML Engineer,Software Developer
31,36,B.Tech,IT,Python,Tableau,Cybersecurity,Leadership,7,Morning,Mixed,Startup,AI/ML Engineer,Cybersecurity Specialist
32,31,Diploma,IT,Java,None,DevOps,Leadership,12,Night,Reading,Startup,Data Analyst,DevOps Engineer
33,23,Other,IT,None,Power BI,DevOps,Communication,0,Anytime,Mixed,IT,Product Manager,DevOps Engineer
34,19,Other,IT,JavaScript,Tableau,Web Development,Problem Solving,10,Morning,Mixed,Govt Job,Software Developer,Software Developer
35,37,High School,ECE,Java,Excel,Data Analysis,Leadership,3,Anytime,Mixed,IT,Software Developer,Data Analyst
36,20,Other,CS,Java,Excel,Cybersecurity,Leadership,11,Night,Hands-on,Research,DevOps Engineer,Cybersecurity Specialist
37,29,Other,CS,JavaScript,Tableau,DevOps,Teamwork,8,Anytime,Reading,IT,Software Developer,Software Developer
38,26,PhD,CS,Java,Power BI,Cybersecurity,Teamwork,5,Night,Reading,Research,Data Analyst,Cybersecurity Specialist
39,26,Diploma,ECE,C++,Tableau,Web Development,Problem Solving,5,Morning,Visual,Govt Job,Cybersecurity Specialist,Software Developer
40,33,PhD,Mechanical,None,None,DevOps,Communication,6,Anytime,Reading,Research,DevOps Engineer,DevOps Engineer
41,35,PhD,Mechanical,Java,TensorFlow,AI,Time Management,9,Anytime,Reading,Research,Data Analyst,Data Analyst
42,24,Diploma,IT,Python,Power BI,Web Development,Time Management,5,Night,Mixed,Govt Job,DevOps Engineer,Software Developer
43,38,Diploma,Other,Python,PyTorch,Mobile,Communication,12,Anytime,Reading,Research,Software Developer,Cybersecurity Specialist
44,30,Diploma,ECE,Java,Tableau,AI,Leadership,4,Anytime,Hands-on,IT,AI/ML Engineer,DevOps Engineer
45,37,Other,Commerce,Java,None,AI,Leadership,8,Night,Visual,Research,Cybersecurity Specialist,Software Developer
46,35,High School,Other,Python,Power BI,DevOps,Leadership,6,Anytime,Visual,Govt Job,Product Manager,DevOps Engineer
47,39,Diploma,IT,JavaScript,PyTorch,Web Development,Communication,0,Anytime,Reading,Govt Job,DevOps Engineer,Software Developer
48,35,Other,Other,JavaScript,None,AI,Problem Solving,0,Anytime,Mixed,Research,Data Analyst,Software Developer
49,33,High School,ECE,JavaScript,Power BI,DevOps,Problem Solving,7,Morning,Visual,Startup,AI/ML Engineer,Software Developer
50,30,B.Tech,CS,Java,Power BI,Cybersecurity,Leadership,1,Night,Reading,Research,Software Developer,Cybersecurity Specialist
51,26,PhD,Mechanical,Java,Excel,Web Development,Time Management,6,Morning,Reading,Startup,Product Manager,Software Developer
52,24,B.Tech,Commerce,Python,TensorFlow,AI,Problem Solving,11,Anytime,Visual,Startup,Product Manager,AI/ML Engineer
53,20,M.Tech,Other,None,Excel,DevOps,Leadership,1,Anytime,Hands-on,Govt Job,Data Analyst,DevOps Engineer
54,33,B.Tech,ECE,Java,Tableau,Mobile,Time Management,3,Morning,Hands-on,Govt Job,AI/ML Engineer,DevOps Engineer
55,25,M.Tech,ECE,Python,PyTorch,Data Analysis,Communication,4,Night,Reading,IT,DevOps Engineer,Software Developer
